word,ict,not ict,total number,percentage of ict
со,1332,10187,11519,0.12
сон,5820,325,6145,0.95
спать,1155,78,1233,0.94
спит,2196,290,2486,0.88
спят,939,152,1091,0.86
средь,1003,3477,4480,0.22
срок,959,63,1022,0.94
стал,3418,1103,4521,0.76
стать,982,158,1140,0.86
стен,1000,20,1020,0.98
стих,1790,103,1893,0.95
сто,624,1034,1658,0.38
стол,1127,74,1201,0.94
столь,497,656,1153,0.43
стон,1334,65,1399,0.95
страсть,1356,93,1449,0.94
страх,2248,116,2364,0.95
суд,1256,76,1332,0.94
сын,2337,453,2790,0.84
та,2635,1142,3777,0.7
так,17221,20212,37433,0.46
там,11396,11079,22475,0.51
твой,4412,7754,12166,0.36
те,3290,1897,5187,0.63
тем,4581,1784,6365,0.72
тень,3970,351,4321,0.92
тех,2320,1868,4188,0.55
то,13522,16644,30166,0.45
той,3047,1189,4236,0.72
том,4674,816,5490,0.85
тот,5668,4893,10561,0.54
три,1623,1803,3426,0.47
труд,1966,105,2071,0.95
ту,1140,1109,2249,0.51
тут,4530,3079,7609,0.6
туч,990,81,1071,0.92
ты,32269,43007,75276,0.43
тьма,1047,76,1123,0.93
тьме,1415,37,1452,0.97
тьму,1224,63,1287,0.95
тьмы,1359,65,1424,0.95
у,10635,22204,32839,0.32
уж,2717,10373,13090,0.21
ум,2320,230,2550,0.91
уст,1062,30,1092,0.97
хлеб,1169,85,1254,0.93
хоть,2217,6170,8387,0.26
храм,1758,132,1890,0.93
царь,2630,522,3152,0.83
цвет,1700,166,1866,0.91
час,7509,748,8257,0.91
чей,288,806,1094,0.26
чем,5396,5384,10780,0.5
честь,1920,230,2150,0.89
чрез,392,1205,1597,0.25
что,27833,61366,89199,0.31
чтоб,3562,13005,16567,0.22
чувств,998,33,1031,0.97
чуть,1619,2117,3736,0.43
шаг,1183,86,1269,0.93
шел,1838,487,2325,0.79
шла,846,205,1051,0.8
шли,1387,397,1784,0.78
шум,2126,204,2330,0.91
я,54284,91443,145727,0.37
