word,ict,not ict,total number,percentage of ict
взять,721,120,841,0.86
вид,1848,147,1995,0.93
визг,203,12,215,0.94
вин,111,4,115,0.97
вихрь,711,55,766,0.93
вишь,71,125,196,0.36
вкось,178,11,189,0.94
вкруг,1096,664,1760,0.62
вкус,557,45,602,0.93
власть,1426,100,1526,0.93
влез,107,9,116,0.92
вмиг,495,81,576,0.86
вне,271,261,532,0.51
вниз,1277,152,1429,0.89
вновь,5046,843,5889,0.86
внук,214,17,231,0.93
внутрь,161,91,252,0.64
во,1575,16904,18479,0.09
вод,1849,36,1885,0.98
вождь,499,63,562,0.89
воз,145,23,168,0.86
вой,724,43,767,0.94
войск,96,7,103,0.93
вол,137,10,147,0.93
волк,542,57,599,0.9
волн,1227,34,1261,0.97
вон,832,583,1415,0.59
вопль,432,45,477,0.91
вор,432,28,460,0.94
воск,233,12,245,0.95
вот,12700,10005,22705,0.56
вплоть,139,62,201,0.69
впредь,293,29,322,0.91
впрок,134,6,140,0.96
впрямь,283,15,298,0.95
враг,1368,149,1517,0.9
враз,96,13,109,0.88
врат,246,5,251,0.98
врач,210,41,251,0.84
вред,153,6,159,0.96
врозь,226,8,234,0.97
вряд,164,7,171,0.96
все,24144,18122,42266,0.57
всей,1833,813,2646,0.69
всем,5101,1393,6494,0.79
всех,9229,2298,11527,0.8
вскачь,105,6,111,0.95
всласть,130,7,137,0.95
вслед,1203,176,1379,0.87
вслух,280,20,300,0.93
вспять,343,23,366,0.94
встав,119,33,152,0.78
встал,880,148,1028,0.86
встань,283,83,366,0.77
встарь,394,14,408,0.97
встать,310,15,325,0.95
встреч,268,4,272,0.99
всю,1247,3078,4325,0.29
вся,2870,2463,5333,0.54
всяк,520,374,894,0.58
всё,12064,9250,21314,0.57
вход,221,26,247,0.89
вы,7351,8691,16042,0.46
выл,123,19,142,0.87
высь,431,21,452,0.95
вьет,90,12,102,0.88
вьюг,152,0,152,1.0
вязь,106,4,110,0.96
га,103,110,213,0.48
газ,183,11,194,0.94
гам,222,11,233,0.95
гас,99,10,109,0.91
гвоздь,138,8,146,0.95
где,9571,23838,33409,0.29
гей,84,30,114,0.74
герб,100,2,102,0.98
гимн,462,32,494,0.94
глад,100,9,109,0.92
гладь,346,14,360,0.96
глаз,4515,201,4716,0.96
глас,1640,167,1807,0.91
глубь,473,68,541,0.87
глуп,213,11,224,0.95
глух,225,4,229,0.98
глушь,242,18,260,0.93
глядь,127,56,183,0.69
глянь,151,23,174,0.87
гнал,179,27,206,0.87
гнать,101,24,125,0.81
гнев,896,56,952,0.94
гнет,398,26,424,0.94
гном,92,9,101,0.91
го,70,70,140,0.5
год,2612,220,2832,0.92
гол,128,6,134,0.96
гор,1953,87,2040,0.96
горд,318,11,329,0.97
горсть,209,40,249,0.84
гость,936,100,1036,0.9
град,969,82,1051,0.92
грань,203,16,219,0.93
граф,252,93,345,0.73
грез,628,6,634,0.99
грек,124,15,139,0.89
грех,1041,73,1114,0.93
гроб,1434,75,1509,0.95
гроз,245,2,247,0.99
гром,1949,144,2093,0.93
грот,101,3,104,0.97
грош,251,7,258,0.97
груб,140,8,148,0.95
грудь,4419,269,4688,0.94
груз,356,30,386,0.92
грусть,1087,67,1154,0.94
грязь,570,21,591,0.96
губ,911,33,944,0.97
гуд,103,5,108,0.95
гул,1309,105,1414,0.93
гусь,111,9,120,0.92
да,5782,15741,21523,0.27
дав,152,66,218,0.7
дай,1575,1240,2815,0.56
дал,1208,414,1622,0.74
даль,1808,165,1973,0.92
дам,812,73,885,0.92
дан,469,77,546,0.86
дант,102,34,136,0.75
дань,391,42,433,0.9
дар,1723,163,1886,0.91
даст,534,108,642,0.83
дать,845,191,1036,0.82
дашь,143,15,158,0.91
два,2359,2578,4937,0.48
две,1241,1425,2666,0.47
дверь,1592,219,1811,0.88
двор,873,57,930,0.94
двум,88,61,149,0.59
двух,1377,628,2005,0.69
де,361,515,876,0.41
дев,550,13,563,0.98
дед,649,64,713,0.91
дел,1057,45,1102,0.96
день,10714,1400,12114,0.88
дик,227,6,233,0.97
диск,134,20,154,0.87
дичь,126,4,130,0.97
длань,209,12,221,0.95
для,7637,12575,20212,0.38
дна,1126,15,1141,0.99
дне,1005,17,1022,0.98
дней,4191,183,4374,0.96
днем,1564,141,1705,0.92
днепр,116,10,126,0.92
днесь,481,191,672,0.72
дни,5095,672,5767,0.88
дно,789,30,819,0.96
дном,135,5,140,0.96
дну,234,18,252,0.93
дню,182,15,197,0.92
дня,3117,138,3255,0.96
дням,231,12,243,0.95
днях,381,11,392,0.97
до,6518,12532,19050,0.34
добр,148,4,152,0.97
дождь,1945,257,2202,0.88
дол,386,27,413,0.93
долг,711,68,779,0.91
дом,4973,459,5432,0.92
дон,354,72,426,0.83
дочь,1205,150,1355,0.89
древ,96,7,103,0.93
дров,158,7,165,0.96
дрожь,560,36,596,0.94
друг,6319,2517,8836,0.72
дрянь,118,11,129,0.91
дуб,531,52,583,0.91
дул,82,53,135,0.61
дум,1372,23,1395,0.98
дух,5027,616,5643,0.89
душ,838,66,904,0.93
дщерь,202,33,235,0.86
дым,2745,188,2933,0.94
е,151,257,408,0.37
ей,4472,4887,9359,0.48
ел,210,31,241,0.87
ель,268,29,297,0.9
ем,88,14,102,0.86
есмь,105,29,134,0.78
ест,316,35,351,0.9
есть,7247,5431,12678,0.57
ешь,136,20,156,0.87
жал,98,7,105,0.93
жаль,1435,154,1589,0.9
жар,1442,115,1557,0.93
жгли,109,14,123,0.89
жгут,241,24,265,0.91
ждал,872,70,942,0.93
ждать,1014,83,1097,0.92
ждем,314,24,338,0.93
ждет,2050,231,2281,0.9
ждешь,296,23,319,0.93
жди,430,38,468,0.92
жду,1153,124,1277,0.9
ждут,810,134,944,0.86
же,2032,22725,24757,0.08
жег,122,10,132,0.92
жезл,140,12,152,0.92
желчь,95,16,111,0.86
жен,507,21,528,0.96
жертв,262,8,270,0.97
жест,161,5,166,0.97
жечь,114,8,122,0.93
жжет,407,34,441,0.92
жив,1055,76,1131,0.93
жизнь,11365,1218,12583,0.9
жил,2220,366,2586,0.86
жить,4240,495,4735,0.9
жмет,137,23,160,0.86
жрец,237,26,263,0.9
жук,164,19,183,0.9
жуть,177,11,188,0.94
за,12961,36709,49670,0.26
зад,108,7,115,0.94
зал,610,32,642,0.95
звал,464,68,532,0.87
звать,320,31,351,0.91
звезд,1974,44,2018,0.98
зверь,948,73,1021,0.93
звон,1845,153,1998,0.92
звук,1972,200,2172,0.91
зги,153,6,159,0.96
здесь,7849,6821,14670,0.54
зев,131,11,142,0.92
зевс,114,6,120,0.95
зим,143,2,145,0.99
зла,1189,41,1230,0.97
злак,127,5,132,0.96
зле,149,3,152,0.98
злей,123,4,127,0.97
зло,989,90,1079,0.92
злой,1024,208,1232,0.83
злом,303,14,317,0.96
злость,319,16,335,0.95
злу,110,16,126,0.87
злы,116,3,119,0.97
злым,182,20,202,0.9
злых,411,39,450,0.91
змей,563,46,609,0.92
знай,573,199,772,0.74
знак,972,162,1134,0.86
знал,2233,106,2339,0.95
знать,2076,508,2584,0.8
зной,962,37,999,0.96
зов,1060,56,1116,0.95
зол,474,10,484,0.98
зорь,166,4,170,0.98
зрак,189,8,197,0.96
зрел,357,43,400,0.89
зреть,369,34,403,0.92
зри,88,60,148,0.59
зрим,204,30,234,0.87
зрит,437,82,519,0.84
зришь,127,18,145,0.88
зрю,385,89,474,0.81
зря,831,137,968,0.86
зуб,196,35,231,0.85
зыбь,199,24,223,0.89
и,105456,421635,527091,0.2
ив,156,34,190,0.82
игр,111,4,115,0.97
из,8813,27523,36336,0.24
ил,95,6,101,0.94
иль,2383,7787,10170,0.23
им,4289,5047,9336,0.46
искр,124,3,127,0.98
их,12752,15779,28531,0.45
ишь,81,53,134,0.6
ка,225,1122,1347,0.17
казнь,384,19,403,0.95
как,30022,93438,123460,0.24
карл,102,20,122,0.84
карт,111,0,111,1.0
квас,106,2,108,0.98
кедр,108,1,109,0.99
кем,920,609,1529,0.6
кисть,241,16,257,0.94
кит,100,11,111,0.9
клад,385,21,406,0.95
класс,139,7,146,0.95
клен,199,16,215,0.93
клик,164,6,170,0.96
клич,244,18,262,0.93
клуб,92,23,115,0.8
клюв,134,5,139,0.96
ключ,635,51,686,0.93
книг,789,25,814,0.97
кнут,143,14,157,0.91
князь,1227,327,1554,0.79
ко,419,4529,4948,0.08
кой,139,159,298,0.47
кол,71,30,101,0.7
коль,701,2165,2866,0.24
ком,672,242,914,0.74
конь,1581,266,1847,0.86
кос,183,5,188,0.97
кость,255,23,278,0.92
кот,467,80,547,0.85
край,2283,209,2492,0.92
крат,110,2,112,0.98
кремль,134,18,152,0.88
крест,1287,109,1396,0.92
крик,1560,128,1688,0.92
кров,449,14,463,0.97
кровь,4353,371,4724,0.92
крот,100,10,110,0.91
круг,1491,96,1587,0.94
крут,100,3,103,0.97
крыл,460,10,470,0.98
крыш,346,16,362,0.96
кто,7457,12523,19980,0.37
куст,458,32,490,0.93
ла,137,195,332,0.41
лавр,288,14,302,0.95
лад,455,30,485,0.94
лай,269,34,303,0.89
ласк,203,1,204,1.0
лба,227,13,240,0.95
лбом,206,20,226,0.91
лбу,338,25,363,0.93
лбы,110,7,117,0.94
лгать,146,8,154,0.95
лгу,105,6,111,0.95
лгут,99,8,107,0.93
ле,174,166,340,0.51
лев,564,112,676,0.83
лег,427,58,485,0.88
лед,1092,71,1163,0.94
лез,104,17,121,0.86
лей,111,26,137,0.81
лен,177,9,186,0.95
лень,568,44,612,0.93
лес,3255,260,3515,0.93
лесть,276,10,286,0.97
лет,6078,349,6427,0.95
лечь,276,27,303,0.91
лжет,105,9,114,0.92
лжи,467,11,478,0.98
ли,4728,14707,19435,0.24
лик,2080,158,2238,0.93
лил,142,39,181,0.78
лип,280,8,288,0.97
лир,239,11,250,0.96
лист,1233,71,1304,0.95
лить,169,32,201,0.84
лиц,618,18,636,0.97
лишь,4551,10942,15493,0.29
лоб,1007,66,1073,0.94
ложь,892,53,945,0.94
луг,685,35,720,0.95
лук,330,29,359,0.92
луч,2141,261,2402,0.89
льва,280,30,310,0.9
львов,156,16,172,0.91
льву,83,20,103,0.81
львы,216,14,230,0.94
льда,346,8,354,0.98
льдин,106,1,107,0.99
льдов,129,2,131,0.98
льдом,283,9,292,0.97
льду,297,31,328,0.91
льды,161,13,174,0.93
льет,542,142,684,0.79
льзя,160,38,198,0.81
льнет,135,17,152,0.89
лью,91,13,104,0.88
льют,171,53,224,0.76
люб,104,9,113,0.92
люд,246,31,277,0.89
ля,143,128,271,0.53
лязг,131,12,143,0.92
май,383,30,413,0.93
мак,177,10,187,0.95
мал,350,15,365,0.96
марс,137,16,153,0.9
март,178,20,198,0.9
марш,179,38,217,0.82
мать,3519,364,3883,0.91
мгла,1002,38,1040,0.96
мгле,1540,14,1554,0.99
мглой,348,10,358,0.97
мглу,447,23,470,0.95
мглы,508,8,516,0.98
мед,671,32,703,0.95
медь,506,23,529,0.96
меж,1457,4134,5591,0.26
мел,110,7,117,0.94
мер,130,4,134,0.97
мертв,208,6,214,0.97
мест,666,22,688,0.97
месть,420,22,442,0.95
мех,187,9,196,0.95
меч,1665,137,1802,0.92
миг,4009,146,4155,0.96
мил,670,31,701,0.96
мир,8940,1120,10060,0.89
мирт,110,4,114,0.96
миф,116,5,121,0.96
млад,95,9,104,0.91
мне,26170,27631,53801,0.49
мнил,155,26,181,0.86
мнит,139,23,162,0.86
мной,6907,256,7163,0.96
мог,3752,253,4005,0.94
мозг,424,42,466,0.91
мой,7704,16131,23835,0.32
мол,223,435,658,0.34
мор,111,7,118,0.94
мост,647,58,705,0.92
мох,317,19,336,0.94
мочь,126,5,131,0.96
мощь,345,43,388,0.89
мрак,2209,98,2307,0.96
муж,1079,216,1295,0.83
муз,748,20,768,0.97
мук,805,9,814,0.99
муть,219,7,226,0.97
мух,202,8,210,0.96
мучь,102,4,106,0.96
мхом,109,7,116,0.94
мчит,209,26,235,0.89
мы,15334,21972,37306,0.41
мысль,2121,202,2323,0.91
мышь,318,18,336,0.95
мя,117,92,209,0.56
мяч,147,11,158,0.93
на,47053,108332,155385,0.3
на́,234,5,239,0.98
наг,134,4,138,0.97
над,7218,20080,27298,0.26
нам,9092,9011,18103,0.5
нас,11983,4870,16853,0.71
наш,2593,4217,6810,0.38
не,61838,144966,206804,0.3
нег,194,2,196,0.99
недр,310,5,315,0.98
ней,8184,2511,10695,0.77
нем,4743,2270,7013,0.68
нес,309,46,355,0.87
несть,100,18,118,0.85
нет,18021,7348,25369,0.71
ни,7428,19006,26434,0.28
нив,289,5,294,0.98
нил,137,9,146,0.94
ним,6918,1358,8276,0.84
нимф,137,9,146,0.94
нить,778,46,824,0.94
них,6500,1643,8143,0.8
ниц,365,17,382,0.96
нищ,113,6,119,0.95
но,11296,59403,70699,0.16
нов,124,2,126,0.98
ног,1980,86,2066,0.96
нож,660,50,710,0.93
ноль,69,32,101,0.68
нос,747,133,880,0.85
нот,111,9,120,0.92
ночь,9059,1222,10281,0.88
нрав,290,18,308,0.94
ну,2002,3791,5793,0.35
нём,171,94,265,0.65
о,8148,38776,46924,0.17
об,872,2052,2924,0.3
огнь,626,72,698,0.9
одр,130,2,132,0.98
ой,528,460,988,0.53
он,25644,44748,70392,0.36
ось,125,8,133,0.94
от,10636,29859,40495,0.26
ох,352,362,714,0.49
па,100,66,166,0.6
пал,858,107,965,0.89
пальм,131,1,132,0.99
пан,187,44,231,0.81
пар,714,65,779,0.92
парк,196,13,209,0.94
пасть,501,29,530,0.95
пей,334,98,432,0.77
пел,1265,164,1429,0.89
пень,255,14,269,0.95
перст,146,12,158,0.92
пес,617,58,675,0.91
песнь,1314,132,1446,0.91
петр,440,75,515,0.85
петь,1318,120,1438,0.92
печь,301,38,339,0.89
пил,560,112,672,0.83
пир,1025,56,1081,0.95
пить,881,113,994,0.89
план,171,19,190,0.9
плат,119,3,122,0.98
плач,716,67,783,0.91
плачь,549,63,612,0.9
плащ,472,39,511,0.92
плен,618,27,645,0.96
плеск,416,35,451,0.92
плеть,109,7,116,0.94
плеч,643,24,667,0.96
плит,232,1,233,1.0
плод,863,64,927,0.93
плоть,1095,54,1149,0.95
плуг,181,9,190,0.95
плут,147,6,153,0.96
плыл,331,73,404,0.82
плыть,300,25,325,0.92
плюс,63,44,107,0.59
плющ,140,3,143,0.98
пляс,123,8,131,0.94
пни,139,4,143,0.97
по,13820,29583,43403,0.32
под,6558,19240,25798,0.25
пой,517,127,644,0.8
пол,479,323,802,0.6
полк,269,35,304,0.88
полн,314,14,328,0.96
понт,169,17,186,0.91
поп,289,35,324,0.89
пор,1842,46,1888,0.98
порт,119,9,128,0.93
пост,172,11,183,0.94
пот,497,34,531,0.94
прав,889,41,930,0.96
прах,2333,77,2410,0.97
пред,2171,5397,7568,0.29
при,1300,4444,5744,0.23
принц,124,24,148,0.84
про,1314,3025,4339,0.3
прост,299,10,309,0.97
прочь,1679,331,2010,0.84
пруд,363,21,384,0.95
прыть,110,2,112,0.98
прядь,153,11,164,0.93
прям,123,5,128,0.96
пса,137,8,145,0.94
псов,163,6,169,0.96
псы,225,19,244,0.92
птиц,1122,44,1166,0.96
пуль,157,4,161,0.98
пульс,101,11,112,0.9
пуст,388,13,401,0.97
пусть,3545,5860,9405,0.38
путь,6234,435,6669,0.93
пух,393,21,414,0.95
пчел,203,2,205,0.99
пыл,478,22,500,0.96
пыль,1328,102,1430,0.93
пьем,197,25,222,0.89
пьет,548,123,671,0.82
пьешь,91,12,103,0.88
пью,386,88,474,0.81
пьют,385,74,459,0.84
пьян,412,20,432,0.95
пят,152,5,157,0.97
пять,901,553,1454,0.62
ра,82,77,159,0.52
раб,789,48,837,0.94
рад,1619,82,1701,0.95
раз,5893,795,6688,0.88
рай,1247,74,1321,0.94
рак,110,10,120,0.92
ран,432,3,435,0.99
рать,493,29,522,0.94
рвал,101,15,116,0.87
рвать,111,15,126,0.88
рвет,357,63,420,0.85
рву,122,9,131,0.93
рвут,145,31,176,0.82
рвы,127,3,130,0.98
рев,382,42,424,0.9
рек,904,56,960,0.94
речь,1907,154,2061,0.93
ржи,230,8,238,0.97
риз,106,4,110,0.96
рим,665,62,727,0.91
ритм,119,9,128,0.93
рифм,216,10,226,0.96
ров,199,9,208,0.96
рог,509,37,546,0.93
род,902,93,995,0.91
рожь,363,34,397,0.91
роз,1188,9,1197,0.99
рой,599,78,677,0.88
рок,1146,82,1228,0.93
роль,218,24,242,0.9
рос,423,33,456,0.93
росс,146,16,162,0.9
рост,371,17,388,0.96
рот,1433,77,1510,0.95
рощ,239,2,241,0.99
рта,253,13,266,0.95
ртом,200,7,207,0.97
рту,274,8,282,0.97
рты,152,10,162,0.94
рук,2275,70,2345,0.97
руль,104,6,110,0.95
русь,1011,101,1112,0.91
рыб,261,17,278,0.94
ряд,1312,141,1453,0.9
сад,2589,148,2737,0.95
сам,7243,1390,8633,0.84
сан,176,51,227,0.78
свеж,205,4,209,0.98
сверх,122,77,199,0.61
свет,9418,677,10095,0.93
свеч,150,2,152,0.99
свист,631,67,698,0.9
свод,799,73,872,0.92
свой,3795,6956,10751,0.35
связь,422,33,455,0.93
свят,220,27,247,0.89
се,504,783,1287,0.39
сев,138,27,165,0.84
сед,134,5,139,0.96
сей,2222,3030,5252,0.42
сел,676,84,760,0.89
сем,469,248,717,0.65
семь,562,451,1013,0.55
сень,372,18,390,0.95
серп,304,30,334,0.91
сесть,190,19,209,0.91
сеть,461,44,505,0.91
сжав,113,33,146,0.77
сжечь,95,8,103,0.92
сил,2620,68,2688,0.97
сим,432,230,662,0.65
синь,402,42,444,0.91
сир,107,4,111,0.96
сих,721,826,1547,0.47
скал,938,9,947,0.99
сквозь,1454,5544,6998,0.21
скиптр,110,7,117,0.94
склад,123,10,133,0.92
склеп,126,5,131,0.96
склон,138,4,142,0.97
скок,105,12,117,0.9
сколь,262,374,636,0.41
скорбь,735,41,776,0.95
скот,176,16,192,0.92
скрип,316,30,346,0.91
скрыл,93,9,102,0.91
скрыт,128,11,139,0.92
скрыть,156,19,175,0.89
слаб,381,14,395,0.96
след,1805,104,1909,0.95
слез,2743,89,2832,0.97
слеп,217,7,224,0.97
слов,2900,87,2987,0.97
слог,239,23,262,0.91
слой,104,11,115,0.9
слон,166,15,181,0.92
слуг,174,4,178,0.98
слух,1317,81,1398,0.94
слёз,106,3,109,0.97
смей,124,2,126,0.98
смел,519,20,539,0.96
смерть,5113,485,5598,0.91
смерч,99,5,104,0.95
смесь,145,36,181,0.8
смех,1672,141,1813,0.92
смог,230,13,243,0.95
смолк,165,22,187,0.88
смрад,111,7,118,0.94
смысл,734,76,810,0.91
сна,1764,35,1799,0.98
снам,187,8,195,0.96
снах,221,8,229,0.97
сне,2489,37,2526,0.99
снег,3328,335,3663,0.91
снов,981,23,1004,0.98
сном,1221,77,1298,0.94
сноп,155,19,174,0.89
сну,230,6,236,0.97
сны,1823,117,1940,0.94
сняв,118,41,159,0.74
снял,239,45,284,0.84
снять,164,21,185,0.89
со,1332,10187,11519,0.12
сок,357,38,395,0.9
солнц,174,3,177,0.98
соль,452,43,495,0.91
сон,5820,325,6145,0.95
сонм,352,47,399,0.88
сор,187,4,191,0.98
сот,104,13,117,0.89
спал,577,68,645,0.89
спас,277,18,295,0.94
спать,1155,78,1233,0.94
спесь,135,10,145,0.93
спи,602,231,833,0.72
спим,95,7,102,0.93
спит,2196,290,2486,0.88
спишь,340,12,352,0.97
сплошь,118,24,142,0.83
сплю,363,13,376,0.97
спой,89,39,128,0.7
спор,576,44,620,0.93
спят,939,152,1091,0.86
срам,162,2,164,0.99
средь,1003,3477,4480,0.22
срок,959,63,1022,0.94
ста,120,99,219,0.55
став,239,73,312,0.77
стад,136,2,138,0.99
стал,3418,1103,4521,0.76
сталь,463,30,493,0.94
стан,826,57,883,0.94
стань,167,57,224,0.75
стар,496,20,516,0.96
стать,982,158,1140,0.86
ствол,303,20,323,0.94
стен,1000,20,1020,0.98
степь,762,70,832,0.92
стиль,110,8,118,0.93
стих,1790,103,1893,0.95
сто,624,1034,1658,0.38
стой,359,133,492,0.73
стол,1127,74,1201,0.94
столб,215,19,234,0.92
столп,107,17,124,0.86
столь,497,656,1153,0.43
стон,1334,65,1399,0.95
стоп,87,15,102,0.85
страж,269,13,282,0.95
стран,911,24,935,0.97
страсть,1356,93,1449,0.94
страх,2248,116,2364,0.95
стрел,351,12,363,0.97
строг,261,13,274,0.95
строй,691,68,759,0.91
строк,485,9,494,0.98
строф,116,3,119,0.97
струй,335,9,344,0.97
струн,436,13,449,0.97
стук,812,103,915,0.89
стул,205,18,223,0.92
стыд,656,37,693,0.95
стяг,148,6,154,0.96
суд,1256,76,1332,0.94
сук,104,10,114,0.91
суп,162,9,171,0.95
суть,445,173,618,0.72
сух,130,6,136,0.96
сфер,147,3,150,0.98
счесть,211,3,214,0.99
счет,559,45,604,0.93
съел,108,14,122,0.89
сын,2337,453,2790,0.84
сыр,145,23,168,0.86
сыт,195,6,201,0.97
сядь,117,26,143,0.82
та,2635,1142,3777,0.7
тайн,309,4,313,0.99
так,17221,20212,37433,0.46
такт,112,10,122,0.92
там,11396,11079,22475,0.51
тать,164,4,168,0.98
тварь,352,26,378,0.93
тверд,208,13,221,0.94
твердь,443,24,467,0.95
твой,4412,7754,12166,0.36
те,3290,1897,5187,0.63
тел,495,18,513,0.96
тем,4581,1784,6365,0.72
темь,133,10,143,0.93
тень,3970,351,4321,0.92
тех,2320,1868,4188,0.55
течь,150,5,155,0.97
ти,74,47,121,0.61
тигр,160,16,176,0.91
тих,635,24,659,0.96
тишь,763,41,804,0.95
ткань,208,25,233,0.89
тлен,218,7,225,0.97
то,13522,16644,30166,0.45
тож,121,10,131,0.92
той,3047,1189,4236,0.72
ток,457,81,538,0.85
толк,187,19,206,0.91
толь,307,406,713,0.43
том,4674,816,5490,0.85
тон,216,13,229,0.94
топ,79,22,101,0.78
торг,109,2,111,0.98
тот,5668,4893,10561,0.54
трав,670,11,681,0.98
трель,112,3,115,0.97
треск,309,40,349,0.89
треть,100,16,116,0.86
трех,385,179,564,0.68
три,1623,1803,3426,0.47
трон,505,22,527,0.96
тронь,210,12,222,0.95
трость,121,5,126,0.96
труб,381,6,387,0.98
труд,1966,105,2071,0.95
труп,816,44,860,0.95
трус,154,15,169,0.91
ту,1140,1109,2249,0.51
тут,4530,3079,7609,0.6
туч,990,81,1071,0.92
ты,32269,43007,75276,0.43
тыл,107,9,116,0.92
тьма,1047,76,1123,0.93
тьме,1415,37,1452,0.97
тьмой,415,13,428,0.97
тьму,1224,63,1287,0.95
тьмы,1359,65,1424,0.95
у,10635,22204,32839,0.32
уж,2717,10373,13090,0.21
уз,215,4,219,0.98
ум,2320,230,2550,0.91
ус,201,16,217,0.93
уст,1062,30,1092,0.97
ух,65,37,102,0.64
феб,225,23,248,0.91
фей,108,1,109,0.99
флаг,292,11,303,0.96
флот,238,18,256,0.93
фон,51,57,108,0.47
форм,117,1,118,0.99
фраз,147,2,149,0.99
фронт,174,9,183,0.95
ха,75,67,142,0.53
хан,91,26,117,0.78
хвост,580,43,623,0.93
хлад,244,21,265,0.92
хлам,150,4,154,0.97
хлеб,1169,85,1254,0.93
хлоп,90,20,110,0.82
хмель,414,24,438,0.95
ход,644,52,696,0.93
холм,457,27,484,0.94
холст,97,9,106,0.92
хор,725,72,797,0.91
хоть,2217,6170,8387,0.26
храм,1758,132,1890,0.93
хруст,165,13,178,0.93
царств,210,5,215,0.98
царь,2630,522,3152,0.83
цвел,117,23,140,0.84
цвет,1700,166,1866,0.91
цел,144,7,151,0.95
цель,597,55,652,0.92
цепь,599,80,679,0.88
чад,487,26,513,0.95
чай,691,186,877,0.79
чар,241,3,244,0.99
час,7509,748,8257,0.91
часть,635,85,720,0.88
чаш,121,4,125,0.97
чей,288,806,1094,0.26
челн,364,11,375,0.97
чем,5396,5384,10780,0.5
червь,280,30,310,0.9
чернь,179,24,203,0.88
черт,665,110,775,0.86
честь,1920,230,2150,0.89
чиж,105,10,115,0.91
чин,293,47,340,0.86
чист,488,16,504,0.97
член,87,17,104,0.84
чрез,392,1205,1597,0.25
чтит,133,19,152,0.88
чтить,104,18,122,0.85
что,27833,61366,89199,0.31
что́,180,280,460,0.39
чтоб,3562,13005,16567,0.22
чту,115,11,126,0.91
чтут,104,15,119,0.87
чу,287,310,597,0.48
чувств,998,33,1031,0.97
чужд,342,23,365,0.94
чур,82,29,111,0.74
чуть,1619,2117,3736,0.43
чье,128,311,439,0.29
чьей,133,98,231,0.58
чьи,246,439,685,0.36
чьим,46,55,101,0.46
чьих,80,65,145,0.55
чью,58,88,146,0.4
чья,268,538,806,0.33
чём,157,28,185,0.85
шаг,1183,86,1269,0.93
шаль,127,6,133,0.95
шар,633,43,676,0.94
шел,1838,487,2325,0.79
шелк,358,26,384,0.93
шерсть,184,18,202,0.91
шесть,399,240,639,0.62
ширь,320,13,333,0.96
шкаф,106,8,114,0.93
шла,846,205,1051,0.8
шлем,302,18,320,0.94
шлет,331,67,398,0.83
шли,1387,397,1784,0.78
шло,246,41,287,0.86
шлю,104,12,116,0.9
шлют,95,34,129,0.74
штык,180,14,194,0.93
