word,ict,not ict,total number,percentage of ict
а,11925,52356,64281,0.19
ад,1079,54,1133,0.95
аж,54,91,145,0.37
аз,78,70,148,0.53
ай,326,191,517,0.63
аль,138,123,261,0.53
ан,91,162,253,0.36
ах,2386,3711,6097,0.39
баб,140,7,147,0.95
бал,334,19,353,0.95
бег,781,47,828,0.94
бед,898,8,906,0.99
без,7422,13472,20894,0.36
бездн,135,7,142,0.95
бей,201,63,264,0.76
бел,207,25,232,0.89
бес,403,44,447,0.9
бил,264,57,321,0.82
битв,209,4,213,0.98
бить,261,38,299,0.87
бич,228,19,247,0.92
благ,527,15,542,0.97
блеск,2003,174,2177,0.92
близ,396,416,812,0.49
блок,102,13,115,0.89
бо,48,55,103,0.47
бог,4907,1265,6172,0.8
бой,1812,77,1889,0.96
бок,213,170,383,0.56
боль,1555,102,1657,0.94
бор,456,25,481,0.95
борт,97,27,124,0.78
брак,201,10,211,0.95
брал,204,52,256,0.8
брань,526,28,554,0.95
брат,1971,298,2269,0.87
брать,209,47,256,0.82
брег,385,11,396,0.97
бред,965,48,1013,0.95
бровь,249,12,261,0.95
брось,265,81,346,0.77
будь,1973,1098,3071,0.64
букв,139,7,146,0.95
бунт,121,13,134,0.9
бурь,639,14,653,0.98
бы,5107,14339,19446,0.26
быв,188,85,273,0.69
бык,217,33,250,0.87
был,12984,9706,22690,0.57
быль,310,21,331,0.94
быт,295,12,307,0.96
быть,8525,5351,13876,0.61
бьет,1072,193,1265,0.85
бьют,580,109,689,0.84
вакх,107,2,109,0.98
вал,636,36,672,0.95
вальс,175,14,189,0.93
вам,4327,4005,8332,0.52
вас,6056,2380,8436,0.72
ваш,885,1303,2188,0.4
вбок,93,10,103,0.9
ввек,339,26,365,0.93
вверх,835,155,990,0.84
ввысь,362,36,398,0.91
вглубь,122,13,135,0.9
вдаль,878,94,972,0.9
вдоль,911,1168,2079,0.44
вдруг,7374,3156,10530,0.7
ведь,1050,5014,6064,0.17
век,3750,334,4084,0.92
вел,285,50,335,0.85
верст,270,43,313,0.86
верх,281,32,313,0.9
верь,769,105,874,0.88
вес,173,27,200,0.86
весть,1002,79,1081,0.93
весь,3577,4465,8042,0.44
ветвь,155,9,164,0.95
ветр,701,46,747,0.94
вещь,249,31,280,0.89
взвод,94,7,101,0.93
взгляд,2362,132,2494,0.95
вздор,414,20,434,0.95
вздох,1006,62,1068,0.94
взлет,136,13,149,0.91
взмах,241,19,260,0.93
взор,4545,284,4829,0.94
взрыв,156,18,174,0.9
взяв,271,106,377,0.72
взял,798,207,1005,0.79
взят,169,18,187,0.9
